AC NO.,AC NAME,TOTAL ELECTORS,SL_NO,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,GENERAL,POSTAL,TOTAL,VOTE_PERCENT,AC TOTAL,VOTE SHARE,is_winner,YEAR
117,Lahowal,118135,4,KUMUD GOGOI,M,43,GEN,IND,3219,0,3219,3.79,84981,0.03787905531824761,0,2011
117,Lahowal,118135,5,RATUL GOGOI,M,33,GEN,CPI,1791,0,1791,2.11,84981,0.0210752991845236,0,2011
117,Lahowal,118135,6,ANANTA DEKA BARUAH,M,58,ST,IND,1556,0,1556,1.83,84981,0.018309975170920558,0,2011
117,Lahowal,118135,7,GHANASHYAM MUNDA,M,30,GEN,CPI(ML)(L),1392,0,1392,1.64,84981,0.016380132029512478,0,2011
117,Lahowal,118135,8,PRAFULLA GOGOI,M,39,GEN,JMM,1095,0,1095,1.29,84981,0.01288523316976736,0,2011
118,Duliajan,136759,1,AMIYA GOGOI,F,64,GEN,INC,39499,12,39511,42.17,93688,0.42172957048928356,1,2011
118,Duliajan,136759,2,RAMESWAR TELI,M,40,GEN,BJP,36153,22,36175,38.61,93688,0.38612202203056956,0,2011
118,Duliajan,136759,3,HITESWAR PHUKAN,M,40,GEN,AGP,9772,5,9777,10.44,93688,0.10435701477243617,0,2011
118,Duliajan,136759,4,PRONOB BORAH,M,37,GEN,IND,2617,0,2617,2.79,93688,0.027933139783109896,0,2011
118,Duliajan,136759,5,PULAK GOGOI,M,36,GEN,CPI,2475,0,2475,2.64,93688,0.026417470753991975,0,2011
118,Duliajan,136759,6,NAVAJYOTI KALITA,M,33,GEN,AITC,1339,0,1339,1.43,93688,0.014292118521048587,0,2011
118,Duliajan,136759,7,BINA KONWER BARUAH,F,50,GEN,NCP,898,0,898,0.96,93688,0.00958500555033729,0,2011
118,Duliajan,136759,8,RAJEN GOGOI,M,41,GEN,SHS,896,0,896,0.96,93688,0.009563658099222952,0,2011
119,Tingkhong,115873,1,ATUWA MUNDA,M,49,GEN,INC,41834,5,41839,48.96,85450,0.48963136337039204,1,2011
119,Tingkhong,115873,2,ANUP PHUKAN,M,53,GEN,AGP,26293,22,26315,30.8,85450,0.3079578700994734,0,2011
119,Tingkhong,115873,3,DIPURANJAN MAKRARI,M,39,ST,BJP,13625,1,13626,15.95,85450,0.15946167349327092,0,2011
119,Tingkhong,115873,4,TUFAN GOWALA,M,29,GEN,CPI(ML)(L),2306,0,2306,2.7,85450,0.026986541837331773,0,2011
119,Tingkhong,115873,5,KESHAB SAIKIA,M,41,GEN,JMM,1364,0,1364,1.6,85450,0.01596255119953189,0,2011
120,Naharkatia,117116,1,PRANATI PHUKAN,F,47,GEN,INC,35361,12,35373,41.58,85070,0.4158105089925943,1,2011
120,Naharkatia,117116,2,NAREN SONOWAL,M,51,ST,AGP,20967,9,20976,24.66,85070,0.2465734101328318,0,2011
120,Naharkatia,117116,3,PRADIP BURAGOHAIN,M,59,GEN,BJP,18911,6,18917,22.24,85070,0.22236981309509815,0,2011
120,Naharkatia,117116,4,SASHAKAMAL HANDIQUE,M,72,GEN,CPM,2697,2,2699,3.17,85070,0.031726813212648405,0,2011
120,Naharkatia,117116,5,KARTIK TANTI,M,39,GEN,NCP,2497,1,2498,2.94,85070,0.029364053132714237,0,2011
120,Naharkatia,117116,6,TIRTHA GOGOI,M,37,GEN,AITC,1712,2,1714,2.01,85070,0.020148113318443635,0,2011
120,Naharkatia,117116,7,MOHENDRA DHADUMIA,M,63,ST,SUCI,1554,0,1554,1.83,85070,0.01826730927471494,0,2011
120,Naharkatia,117116,8,IMRANUDDIN AHMED,M,43,GEN,AIUDF,1339,0,1339,1.57,85070,0.01573997884095451,0,2011
121,Chabua,132976,1,RAJU SAHU,M,41,GEN,INC,38574,2,38576,40.02,96388,0.4002157944972403,1,2011
121,Chabua,132976,2,BINOD HAZARIKA,M,34,GEN,BJP,27466,2,27468,28.5,96388,0.28497323318255385,0,2011
121,Chabua,132976,3,BHABEN BARUAH,M,52,GEN,AGP,19709,7,19716,20.45,96388,0.20454828401875752,0,2011
121,Chabua,132976,4,GONGARAM KOUL,M,41,GEN,CPI(ML)(L),3042,0,3042,3.16,96388,0.03155994522139685,0,2011
121,Chabua,132976,5,KARTICK SAMASHI,M,33,GEN,IND,2804,0,2804,2.91,96388,0.029090758185666265,0,2011
121,Chabua,132976,6,PRAKASH TANTI,M,39,GEN,AITC,2270,1,2271,2.36,96388,0.023561024193883055,0,2011
121,Chabua,132976,7,HARENDRA NATH SAIKIA,M,45,GEN,NCP,1286,0,1286,1.33,96388,0.013341909781300577,0,2011
121,Chabua,132976,8,SUMIT KUMAR TIWARI,M,26,GEN,JMM,1225,0,1225,1.27,96388,0.01270905091920156,0,2011
122,Tinsukia,141020,1,RAJENDRA PRASAD SINGH,M,48,GEN,INC,41195,43,41238,44.15,93399,0.4415250698615617,1,2011
122,Tinsukia,141020,2,SANJAY KISHAN,M,41,GEN,BJP,29244,21,29265,31.33,93399,0.31333311919827833,0,2011
122,Tinsukia,141020,3,MONORANJAN SHARMA,M,47,GEN,AGP,15529,38,15567,16.67,93399,0.16667202004304116,0,2011
122,Tinsukia,141020,4,RAJEN BARUA,M,61,GEN,AITC,3020,0,3020,3.23,93399,0.03233439330185548,0,2011
122,Tinsukia,141020,5,ANANTA HAZARIKA,M,42,GEN,AIUDF,2223,1,2224,2.38,93399,0.0238118181136843,0,2011
122,Tinsukia,141020,6,RAM NARAYAN SINGH,M,45,GEN,SHS,2085,0,2085,2.23,93399,0.022323579481579033,0,2011
