AC NO.,AC NAME,TOTAL ELECTORS,SL_NO,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,GENERAL,POSTAL,TOTAL,VOTE_PERCENT,AC TOTAL,VOTE SHARE,is_winner,YEAR
19,Ariankuppam,30970,3,S. KUMARAVELU,M,42,GEN,IND,2576,5,2581,9.48,27239,0.09475384558904512,0,2011
19,Ariankuppam,30970,4,G.C. CHANDRAN,M,61,GEN,IND,225,0,225,0.83,27239,0.008260215132714124,0,2011
19,Ariankuppam,30970,5,P. NAGARADJOU,M,37,GEN,BJP,176,0,176,0.65,27239,0.0064613238371452695,0,2011
19,Ariankuppam,30970,6,G.SATHIYANANDHAM,M,34,GEN,IJK,126,0,126,0.46,27239,0.004625720474319909,0,2011
20,Manavely,26991,1,P.PURUSHOTHAMAN,M,63,GEN,AIADMK,13903,76,13979,57.98,24110,0.5798009124844463,1,2011
20,Manavely,26991,2,R.K.R. ANANTHARAMAN,M,38,GEN,PMK,9554,92,9646,40.01,24110,0.40008295313148073,0,2011
20,Manavely,26991,3,S.KUMAR,M,49,GEN,IND,244,0,244,1.01,24110,0.010120282040647034,0,2011
20,Manavely,26991,4,J. VEERASEKARAN,M,41,GEN,IJK,241,0,241,1,24110,0.009995852343425964,0,2011
21,Embalam,26882,1,P. RAJAVELU,M,49,SC,AINRC,12849,84,12933,51.95,24893,0.5195436468083396,1,2011
21,Embalam,26882,2,M. CANDASSAMY,M,45,SC,INC,11432,33,11465,46.06,24893,0.4605712449282931,0,2011
21,Embalam,26882,3,N. ETHIRAJAN,M,46,SC,IND,351,0,351,1.41,24893,0.014100349495842204,0,2011
21,Embalam,26882,4,J. SACTIVELOU,M,42,SC,CPI(ML)(L),144,0,144,0.58,24893,0.005784758767525007,0,2011
22,Nettapakkam,27274,1,L. PERIYASAMY,M,52,SC,AIADMK,14641,45,14686,59.8,24560,0.5979641693811075,1,2011
22,Nettapakkam,27274,2,S. MUTHUKUMARASAMY,M,34,SC,INC,9182,37,9219,37.54,24560,0.37536644951140063,0,2011
22,Nettapakkam,27274,3,A. VISWAMOHAN,M,34,SC,BJP,235,2,237,0.96,24560,0.009649837133550488,0,2011
22,Nettapakkam,27274,4,M. SOMASUNDARAM,M,52,SC,BSP,129,0,129,0.53,24560,0.0052524429967426714,0,2011
22,Nettapakkam,27274,5,P. VIRAGANABADY,M,35,SC,IND,110,0,110,0.45,24560,0.004478827361563518,0,2011
22,Nettapakkam,27274,6,M. SELVAM,M,34,SC,IND,93,0,93,0.38,24560,0.003786644951140065,0,2011
22,Nettapakkam,27274,7,DR. A. COUMAR,M,34,SC,IND,86,0,86,0.35,24560,0.003501628664495114,0,2011
23,Bahour,24790,1,T. THIAGARAJAN,M,59,GEN,AINRC,12202,82,12284,53.42,22994,0.5342263199095416,1,2011
23,Bahour,24790,2,R. RADHAKRISHNAN,M,39,GEN,INC,10173,56,10229,44.49,22994,0.4448551796120727,0,2011
23,Bahour,24790,3,B.R. SUNDARAMOORTHY,M,56,GEN,IND,315,0,315,1.37,22994,0.013699225885013482,0,2011
23,Bahour,24790,4,THANGA. VIKRAMAN,M,31,GEN,BJP,166,0,166,0.72,22994,0.007219274593372184,0,2011
24,Nedungadu,26888,1,M.CHANDHRAKASU,M,62,SC,AINRC,12372,102,12474,55.05,22658,0.5505340277164799,1,2011
24,Nedungadu,26888,2,A. MARIMUTHU,M,69,SC,IND,4940,44,4984,22,22658,0.21996645776326243,0,2011
24,Nedungadu,26888,3,R. VADIVELU,M,55,SC,IND,4311,29,4340,19.15,22658,0.19154382558036898,0,2011
24,Nedungadu,26888,4,N. RAMESH KUMAR,M,29,SC,IND,325,5,330,1.46,22658,0.014564392267631742,0,2011
24,Nedungadu,26888,5,SANKAR,M,37,SC,IND,311,0,311,1.37,22658,0.013725836349192338,0,2011
24,Nedungadu,26888,6,N. RAVICHANDIRAN,M,44,SC,IND,218,1,219,0.97,22658,0.0096654603230647,0,2011
25,Thirunallar,26718,1,P.R. SIVA,M,35,GEN,AINRC,11621,81,11702,50.77,23050,0.5076789587852495,1,2011
25,Thirunallar,26718,2,R. KAMALAKANNAN,M,53,GEN,INC,10792,70,10862,47.12,23050,0.471236442516269,0,2011
25,Thirunallar,26718,3,G. CHANDRASEKARAN,M,34,GEN,IND,198,0,198,0.86,23050,0.00859002169197397,0,2011
25,Thirunallar,26718,4,M. SRINIVASAN,M,38,GEN,IND,174,0,174,0.75,23050,0.00754880694143167,0,2011
25,Thirunallar,26718,5,V. MAHESWARI,F,27,SC,BSP,114,0,114,0.49,23050,0.004945770065075922,0,2011
26,Karaikal North,26089,1,P.R.N. THIRUMURUGAN,M,38,GEN,INC,12033,122,12155,55.69,21827,0.5568790946992257,1,2011
26,Karaikal North,26089,2,V. OMALINGAM,M,39,GEN,AIADMK,8682,113,8795,40.29,21827,0.40294131122004856,0,2011
26,Karaikal North,26089,3,M. ARUL MURUGAN,M,45,GEN,BJP,637,9,646,2.96,21827,0.029596371466532278,0,2011
26,Karaikal North,26089,4,E. JAYABAL,M,53,SC,CPI(ML)(L),231,0,231,1.06,21827,0.01058322261419343,0,2011
27,Karaikal South,26802,1,A.M.H. NAZEEM,M,49,GEN,DMK,8299,78,8377,39.37,21278,0.3936930162609268,1,2011
27,Karaikal South,26802,2,V.K. GANAPATHY,M,50,GEN,IND,6727,74,6801,31.96,21278,0.31962590469029045,0,2011
27,Karaikal South,26802,3,K.A.U. ASSANA,M,57,GEN,DMDK,5941,25,5966,28.04,21278,0.2803834946893505,0,2011
27,Karaikal South,26802,4,SELVAMANI,M,52,GEN,BSP,134,0,134,0.63,21278,0.0062975843594322775,0,2011
